Ƶ,Դ,ʱ,,Ƶ,自有源,100.0
CCTV4,ͨ,0,,CCTV4,自有源,100.0
CCTV4,ͨ,0,,CCTV4,自有源,100.0
CCTV4,ƶ,0,,CCTV4,自有源,100.0
CCTV4,ƶ,0,,CCTV4,自有源,100.0
CCTV4,ൺͨ,0,,CCTV4,自有源,100.0
CCTV4,Ϻƶ,0,,CCTV4,自有源,100.0
CCTV-4K,鲥,0,,CCTV-4K,自有源,100.0
CCTV4,ŵ,0,,CCTV4,自有源,100.0
CCTV4,鲥,0,,CCTV4,自有源,100.0
CCTV4,ͨ,0,,CCTV4,自有源,100.0
CCTV4,ƶ,0,,CCTV4,自有源,100.0
CCTV4ŷ,ŵ,0,,CCTV4ŷ,自有源,100.0
CCTV4ŷ,鲥,0,,CCTV4ŷ,自有源,100.0
CCTV4ŷ,ͨ,0,,CCTV4ŷ,自有源,100.0
CCTV4ŷ,ƶ,0,,CCTV4ŷ,自有源,100.0
CCTV5,ŵ,0,,CCTV5,自有源,100.0
CCTV5,鲥,0,,CCTV5,自有源,100.0
CCTV5,ͨ,0,,CCTV5,自有源,100.0
CCTV5,ͨ,0,,CCTV5,自有源,100.0
CCTV5,ƶ,0,,CCTV5,自有源,100.0
CCTV5,ൺͨ,0,,CCTV5,自有源,100.0
CCTV5,Ϻƶ,0,,CCTV5,自有源,100.0
CCTV5,Ϻƶ,0,,CCTV5,自有源,100.0
CCTV5+,ŵ,0,,CCTV5+,自有源,100.0
CCTV5+,鲥,0,,CCTV5+,自有源,100.0
CCTV5+,ͨ,0,,CCTV5+,自有源,100.0
CCTV5+,ƶ,0,,CCTV5+,自有源,100.0
CCTV5+,ൺͨ,0,,CCTV5+,自有源,100.0
CCTV6,ŵ,0,,CCTV6,自有源,100.0
CCTV6,ŵ,0,,CCTV6,自有源,100.0
CCTV6,鲥,0,,CCTV6,自有源,100.0
CCTV6,ͨ,0,,CCTV6,自有源,100.0
CCTV6,ͨ,0,,CCTV6,自有源,100.0
CCTV6,ƶ,0,,CCTV6,自有源,100.0
CCTV6,ൺͨ,0,,CCTV6,自有源,100.0
CCTV6,Ϻƶ,0,,CCTV6,自有源,100.0
CCTV6,Ϻƶ,0,,CCTV6,自有源,100.0
CCTV7,ŵ,0,,CCTV7,自有源,100.0
CCTV7,鲥,0,,CCTV7,自有源,100.0
CCTV7,ͨ,0,,CCTV7,自有源,100.0
CCTV7,ƶ,0,,CCTV7,自有源,100.0
CCTV7,ൺͨ,0,,CCTV7,自有源,100.0
CCTV7,Ϻƶ,0,,CCTV7,自有源,100.0
CCTV7,Ϻƶ,0,,CCTV7,自有源,100.0
CCTV8,ŵ,0,,CCTV8,自有源,100.0
CCTV8,ŵ,0,,CCTV8,自有源,100.0
CCTV8,鲥,0,,CCTV8,自有源,100.0
CCTV8,ͨ,0,,CCTV8,自有源,100.0
CCTV8,ͨ,0,,CCTV8,自有源,100.0
CCTV8,ƶ,0,,CCTV8,自有源,100.0
CCTV8,ൺͨ,0,,CCTV8,自有源,100.0
CCTV8,Ϻƶ,0,,CCTV8,自有源,100.0
CCTV8,Ϻƶ,0,,CCTV8,自有源,100.0
CCTV9,ŵ,0,,CCTV9,自有源,100.0
CCTV9,鲥,0,,CCTV9,自有源,100.0
CCTV9,ͨ,0,,CCTV9,自有源,100.0
CCTV9,ƶ,0,,CCTV9,自有源,100.0
CCTV9,ൺͨ,0,,CCTV9,自有源,100.0
CETV1,ŵ,0,,CETV1,自有源,100.0
CETV1,鲥,0,,CETV1,自有源,100.0
CETV1,ͨ,0,,CETV1,自有源,100.0
CETV1,ൺͨ,0,,CETV1,自有源,100.0
CETV1,Ϻƶ,0,,CETV1,自有源,100.0
CETV2,ŵ,0,,CETV2,自有源,100.0
CETV2,鲥,0,,CETV2,自有源,100.0
CETV2,ͨ,0,,CETV2,自有源,100.0
CETV2,ൺͨ,0,,CETV2,自有源,100.0
CETV4,Ϻƶ,0,,CETV4,自有源,100.0
CETV4,ŵ,0,,CETV4,自有源,100.0
CETV4,鲥,0,,CETV4,自有源,100.0
CETV4,ͨ,0,,CETV4,自有源,100.0
CETV̬,ŵ,0,,CETV̬,自有源,100.0
CETV̬,ŵ,0,,CETV̬,自有源,100.0
CETV̬,鲥,0,,CETV̬,自有源,100.0
CETV̬,ͨ,0,,CETV̬,自有源,100.0
CGTN,ŵ,0,,CGTN,自有源,100.0
CGTN,ŵ,0,,CGTN,自有源,100.0
CGTN,鲥,0,,CGTN,自有源,100.0
CGTN,鲥,0,,CGTN,自有源,100.0
CGTN,ͨ,0,,CGTN,自有源,100.0
CGTN,ƶ,0,,CGTN,自有源,100.0
CGTN,ŵ,0,,CGTN,自有源,100.0
CGTN,鲥,0,,CGTN,自有源,100.0
CGTN,ͨ,0,,CGTN,自有源,100.0
CGTN,ƶ,0,,CGTN,自有源,100.0
CGTN,ŵ,0,,CGTN,自有源,100.0
CGTN,鲥,0,,CGTN,自有源,100.0
CGTN,ͨ,0,,CGTN,自有源,100.0
CGTN,ƶ,0,,CGTN,自有源,100.0
CGTN,ŵ,0,,CGTN,自有源,100.0
CGTN,鲥,0,,CGTN,自有源,100.0
CGTN,ͨ,0,,CGTN,自有源,100.0
CGTN,ƶ,0,,CGTN,自有源,100.0
CGTN¼,ŵ,0,,CGTN¼,自有源,100.0
CGTN¼,鲥,0,,CGTN¼,自有源,100.0
CGTN¼,ͨ,0,,CGTN¼,自有源,100.0
CGTN¼,ƶ,0,,CGTN¼,自有源,100.0
CGTN,ŵ,0,,CGTN,自有源,100.0
CGTN,鲥,0,,CGTN,自有源,100.0
CGTN,ͨ,0,,CGTN,自有源,100.0
cgtn,ƶ,0,,cgtn,自有源,100.0
CHCӰ,ŵ,0,,CHCӰ,自有源,100.0
CHCӰ,鲥,0,,CHCӰ,自有源,100.0
CHCӰ,ͨ,0,,CHCӰ,自有源,100.0
CHCӰ,ƶ,0,,CHCӰ,自有源,100.0
CHCӰ,ൺͨ,0,,CHCӰ,自有源,100.0
CHCͥӰԺ,ŵ,0,,CHCͥӰԺ,自有源,100.0
CHCͥӰԺ,鲥,0,,CHCͥӰԺ,自有源,100.0
CHCͥӰԺ,ͨ,0,,CHCͥӰԺ,自有源,100.0
CHCͥӰԺ,ƶ,0,,CHCͥӰԺ,自有源,100.0
CHCӰԵӰ,ŵ,0,,CHCӰԵӰ,自有源,100.0
CHCӰԵӰ,鲥,0,,CHCӰԵӰ,自有源,100.0
CHCӰԵӰ,ͨ,0,,CHCӰԵӰ,自有源,100.0
CHCӰԵӰ,ƶ,0,,CHCӰԵӰ,自有源,100.0
IPTV,ͨ,0,,IPTV,自有源,100.0
IPTVҰ,ͨ,0,,IPTVҰ,自有源,100.0
NHK̨,ŵ,0,,NHK̨,自有源,100.0
NHK̨,鲥,0,,NHK̨,自有源,100.0
,ŵ,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
Ӱ,ͨ,0,,Ӱ,自有源,100.0
4K,ͨ,0,,4K,自有源,100.0
,ͨ,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
4K,ŵ,0,,4K,自有源,100.0
4K,鲥,0,,4K,自有源,100.0
4K,ͨ,0,,4K,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
Ƹ,ŵ,0,,Ƹ,自有源,100.0
Ƹ,鲥,0,,Ƹ,自有源,100.0
Ƹ,ͨ,0,,Ƹ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
о糡,ͨ,0,,о糡,自有源,100.0
ƽۺ,ŵ,0,,ƽۺ,自有源,100.0
ƽۺ,鲥,0,,ƽۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ͨ,0,,,自有源,100.0
ӰƬ,ƶ,0,,ӰƬ,自有源,100.0
ս糡,ͨ,0,,ս糡,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ƾ,ŵ,0,,ƾ,自有源,100.0
ƾ,鲥,0,,ƾ,自有源,100.0
ƾ,ͨ,0,,ƾ,自有源,100.0
ƾ,ƶ,0,,ƾ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
4K,鲥,0,,4K,自有源,100.0
4K,ͨ,0,,4K,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ƽۺ,ŵ,0,,ƽۺ,自有源,100.0
ƽۺ,鲥,0,,ƽۺ,自有源,100.0
Ӫ,ŵ,0,,Ӫ,自有源,100.0
Ӫ,鲥,0,,Ӫ,自有源,100.0
Ӫۺ,ŵ,0,,Ӫۺ,自有源,100.0
Ӫۺ,鲥,0,,Ӫۺ,自有源,100.0
,ͨ,0,,,自有源,100.0
㳡,ŵ,0,,㳡,自有源,100.0
㳡,鲥,0,,㳡,自有源,100.0
㳡,ͨ,0,,㳡,自有源,100.0
㳡,ƶ,0,,㳡,自有源,100.0
㳡,Ϻƶ,0,,㳡,自有源,100.0
㳡,Ϻƶ,0,,㳡,自有源,100.0
ӰԺ,ͨ,0,,ӰԺ,自有源,100.0
о糡,ŵ,0,,о糡,自有源,100.0
о糡,鲥,0,,о糡,自有源,100.0
о糡,ͨ,0,,о糡,自有源,100.0
о糡,ƶ,0,,о糡,自有源,100.0
о糡,Ϻƶ,0,,о糡,自有源,100.0
о糡,Ϻƶ,0,,о糡,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ʳۺ,ŵ,0,,ʳۺ,自有源,100.0
ʳۺ,鲥,0,,ʳۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
Ѷ,鲥,0,,Ѷ,自有源,100.0
Ѷ,ŵ,0,,Ѷ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
װ糡,ͨ,0,,װ糡,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
Ӱ,ͨ,0,,Ӱ,自有源,100.0
㶫,ŵ,0,,㶫,自有源,100.0
㶫,鲥,0,,㶫,自有源,100.0
㶫,ͨ,0,,㶫,自有源,100.0
㶫,ƶ,0,,㶫,自有源,100.0
㶫,ൺͨ,0,,㶫,自有源,100.0
㶫,Ϻƶ,0,,㶫,自有源,100.0
㶫,鲥,0,,㶫,自有源,100.0
㶫4K,ŵ,0,,㶫4K,自有源,100.0
㶫4K,鲥,0,,㶫4K,自有源,100.0
㶫4K,ͨ,0,,㶫4K,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ѧ,ͨ,0,,ѧ,自有源,100.0
Ŷ,Ϻƶ,0,,Ŷ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
Ͽ,,0,,Ͽ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
Ƶ,ŵ,0,,Ƶ,自有源,100.0
Ƶ,鲥,0,,Ƶ,自有源,100.0
ѧ,ͨ,0,,ѧ,自有源,100.0
ӱ,ŵ,0,,ӱ,自有源,100.0
ӱ,鲥,0,,ӱ,自有源,100.0
ӱ,ͨ,0,,ӱ,自有源,100.0
ӱ,ƶ,0,,ӱ,自有源,100.0
ӱ,Ϻƶ,0,,ӱ,自有源,100.0
Ӷۺ,ŵ,0,,Ӷۺ,自有源,100.0
Ӷۺ,鲥,0,,Ӷۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
1,ŵ,0,,1,自有源,100.0
1,鲥,0,,1,自有源,100.0
2,ŵ,0,,2,自有源,100.0
2,鲥,0,,2,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ɫӰԺ,ͨ,0,,ɫӰԺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
4K,鲥,0,,4K,自有源,100.0
4K,ͨ,0,,4K,自有源,100.0
Ц糡,Ϻƶ,0,,Ц糡,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
̨ۺ,ŵ,0,,̨ۺ,自有源,100.0
̨ۺ,鲥,0,,̨ۺ,自有源,100.0
Ƶ,ŵ,0,,Ƶ,自有源,100.0
Ƶ,鲥,0,,Ƶ,自有源,100.0
Ƶۺ,ŵ,0,,Ƶۺ,自有源,100.0
Ƶۺ,鲥,0,,Ƶۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ʵƽ,ŵ,0,,ʵƽ,自有源,100.0
ʵƽ,鲥,0,,ʵƽ,自有源,100.0
ʵƽ,ͨ,0,,ʵƽ,自有源,100.0
ʵƽ,ƶ,0,,ʵƽ,自有源,100.0
϶,ŵ,0,,϶,自有源,100.0
϶,鲥,0,,϶,自有源,100.0
Ͻ,ŵ,0,,Ͻ,自有源,100.0
Ͻ,鲥,0,,Ͻ,自有源,100.0
³,ŵ,0,,³,自有源,100.0
³,鲥,0,,³,自有源,100.0
ٶ,ŵ,0,,ٶ,自有源,100.0
ٶ,鲥,0,,ٶ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ͥ,ŵ,0,,ͥ,自有源,100.0
ͥӰԺ,ͨ,0,,ͥӰԺ,自有源,100.0
μѿͨ,ŵ,0,,μѿͨ,自有源,100.0
μѿͨ,鲥,0,,μѿͨ,自有源,100.0
μѿͨ,ͨ,0,,μѿͨ,自有源,100.0
μѿͨ,Ϻƶ,0,,μѿͨ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ͨ,0,,,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
4K,鲥,0,,4K,自有源,100.0
4K,ͨ,0,,4K,自有源,100.0
,ŵ,0,,,自有源,100.0
,鲥,0,,,自有源,100.0
,ͨ,0,,,自有源,100.0
,ƶ,0,,,自有源,100.0
,ൺͨ,0,,,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
,ͨ,0,,,自有源,100.0
ɫѧ,ŵ,0,,ɫѧ,自有源,100.0
ɫѧ,鲥,0,,ɫѧ,自有源,100.0
ɫѧ,ͨ,0,,ɫѧ,自有源,100.0
ɫѧ,ƶ,0,,ɫѧ,自有源,100.0
ɫѧ,Ϻƶ,0,,ɫѧ,自有源,100.0
ɫѧ,ൺͨ,0,,ɫѧ,自有源,100.0
ӥʵ,ŵ,0,,ӥʵ,自有源,100.0
ӥʵ,鲥,0,,ӥʵ,自有源,100.0
ӥʵ,ͨ,0,,ӥʵ,自有源,100.0
ӥʵ,ƶ,0,,ӥʵ,自有源,100.0
ӥͨ,ŵ,0,,ӥͨ,自有源,100.0
ӥͨ,ŵ,0,,ӥͨ,自有源,100.0
ӥͨ,鲥,0,,ӥͨ,自有源,100.0
ӥͨ,ͨ,0,,ӥͨ,自有源,100.0
ӥͨ,ͨ,0,,ӥͨ,自有源,100.0
ӥͨ,ƶ,0,,ӥͨ,自有源,100.0
ӥͨ,Ϻƶ,0,,ӥͨ,自有源,100.0
,ƶ,0,,,自有源,100.0
Ӱ,ͨ,0,,Ӱ,自有源,100.0
糡,ͨ,0,,糡,自有源,100.0
ʹ㳡,Ϻƶ,0,,ʹ㳡,自有源,100.0
ʾ,Ϻƶ,0,,ʾ,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
Ӱ,ŵ,0,,Ӱ,自有源,100.0
Ӱ,鲥,0,,Ӱ,自有源,100.0
Ӱ,ͨ,0,,Ӱ,自有源,100.0
Ӱ,ƶ,0,,Ӱ,自有源,100.0
ѡ,ͨ,0,,ѡ,自有源,100.0
Ӽҹ,ŵ,0,,Ӽҹ,自有源,100.0
Ӽҹ,鲥,0,,Ӽҹ,自有源,100.0
Ӽҹ,ͨ,0,,Ӽҹ,自有源,100.0
Ӽҹ,ൺͨ,0,,Ӽҹ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
Ұ,ŵ,0,,Ұ,自有源,100.0
Ұ,鲥,0,,Ұ,自有源,100.0
軷,ͨ,0,,軷,自有源,100.0
۲ۺ,ŵ,0,,۲ۺ,自有源,100.0
۲ۺ,鲥,0,,۲ۺ,自有源,100.0
þ糡,ͨ,0,,þ糡,自有源,100.0
IPTV,ͨ,0,,IPTV,自有源,100.0
ٶ,ŵ,0,,ٶ,自有源,100.0
ٶ,ŵ,0,,ٶ,自有源,100.0
ٶ,鲥,0,,ٶ,自有源,100.0
ٶ,ͨ,0,,ٶ,自有源,100.0
ٶ,Ϻƶ,0,,ٶ,自有源,100.0
,Ϻƶ,0,,,自有源,100.0
ִ,ŵ,0,,ִ,自有源,100.0
ִ,鲥,0,,ִ,自有源,100.0
ִ,ͨ,0,,ִ,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
깫,ŵ,0,,깫,自有源,100.0
깫,鲥,0,,깫,自有源,100.0
ۺ,ŵ,0,,ۺ,自有源,100.0
ۺ,鲥,0,,ۺ,自有源,100.0
ɽۺ,ŵ,0,,ɽۺ,自有源,100.0
ɽۺ,鲥,0,,ɽۺ,自有源,100.0
ɽ1,ŵ,0,,ɽ1,自有源,100.0
ɽ1,鲥,0,,ɽ1,自有源,100.0
ɽۺ,ŵ,0,,ɽۺ,自有源,100.0
ɽۺ,鲥,0,,ɽۺ,自有源,100.0
,ŵ,0,,,自有源,100.0
