频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,匹配信息,匹配值,轮回相似度,输出顺序
山东农科,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000339/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
山东少儿,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000340/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
重庆卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000341/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
CCTV11,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000344/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV13,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000345/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV15,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000346/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
海南卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000347/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
四川卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000348/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
甘肃卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000349/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
CCTV4欧洲,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV4美洲,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000351/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
CGTN,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000352/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视新媒,,,,,,精准匹配,100.0,无,未排序
CGTN纪录,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000353/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视新媒,,,,,,精准匹配,100.0,无,未排序
CGTN西语,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000354/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视新媒,,,,,,精准匹配,100.0,无,未排序
CGTN法语,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000355/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视新媒,,,,,,精准匹配,100.0,无,未排序
CGTN阿语,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000356/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视新媒,,,,,,精准匹配,100.0,无,未排序
CGTN,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000357/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视新媒,,,,,,精准匹配,100.0,无,未排序
河南卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000358/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
CCTV3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000359/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV5,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000360/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV6,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000361/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV8,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000362/index.m3u8?IASHttpSessionId=,山东移动单播,,,央视频道,,,,,,精准匹配,100.0,无,未排序
吉林卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000363/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
青海卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000366/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
云南卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000367/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
广西卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000368/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
河南卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000369/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
CCTV4K,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000382/index.m3u8?IASHttpSessionId=,山东移动单播,,,4K频道,,,,,,精准匹配,100.0,无,未排序
西藏卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000392/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
新疆卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000393/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
兵团卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000394/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
宁夏卫视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000395/index.m3u8?IASHttpSessionId=,山东移动单播,,,卫视频道,,,,,,精准匹配,100.0,无,未排序
山东体育,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000400/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
青岛QTV1,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000500/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
青岛QTV2,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000501/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
青岛QTV3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000502/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
青岛QTV4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000503/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
青岛QTV5,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000505/index.m3u8?IASHttpSessionId=,山东移动单播,,,山东频道,,,,,,精准匹配,100.0,无,未排序
CHC家庭影院,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002028/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
CHC影迷电影,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002029/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
CHC动作电影,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002030/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
智慧康养,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002031/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
热血剧场,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002032/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
电影大片,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002033/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
法治天地,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002010/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
精彩影视,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002012/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
乐游,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002016/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
金色学堂,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002018/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
生活时尚,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002019/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
都市剧场,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002022/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
游戏风云,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002024/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
东方财经,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002025/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
劲爆体育,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002026/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
金鹰卡通,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002027/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
动漫秀场,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00002000/index.m3u8?IASHttpSessionId=,山东移动单播,,,数字频道,,,,,,精准匹配,100.0,无,未排序
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV1.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00004003/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV1.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV1.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV2,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV2.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV3,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV3.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV3,http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV3.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV-4 中文,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV4.png,,待标准化,,,,,,未匹配,0.0,无,未排序
CCTV5,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV5.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV5,http://150.138.8.143/00/SNM/CHANNEL30000005/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV5.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV5+,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV5+.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV6,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV6.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV6,http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV6.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV7,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV7.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV8,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV8.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV8,http://150.138.8.143/00/SNM/CHANNEL20000001/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV8.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV8,http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV8.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV9,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV9.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV10,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV10.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV11,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV11.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV12,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV12.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV13,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV13.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV14,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV14.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV15,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV15.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8,济南电信单播,https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/CCTV/CCTV17.png,,央视频道,,,,,,精准匹配,100.0,无,未排序
